"[0.8, 0.01]","[0.8, 0.05]","[0.8, 0.1]","[0.9, 0.01]","[0.9, 0.05]","[0.9, 0.1]"
1285.6717658730158,1296.2315873015873,1257.1360317460317,1282.1886904761905,1270.8017857142856,1247.1361309523809
1277.8004761904763,1266.70873015873,1277.8595436507937,1293.3680158730158,1203.5224206349205,1222.599365079365
1283.5207142857143,1282.1819047619047,1257.9150396825396,1267.7369642857143,1268.1959325396826,1278.8436507936508
1268.6045634920636,1296.2808928571428,1212.0995833333334,1276.4847619047619,1238.11623015873,1276.7174404761904
1266.4327182539682,1197.1615277777778,1278.339365079365,1276.0069246031746,1253.7022222222222,1248.5497222222223
1249.9503571428572,1234.0554365079365,1278.7675793650794,1288.5597817460318,1290.6217857142858,1249.4327380952382
1272.4720833333333,1273.434503968254,1272.4502976190477,1259.5005357142857,1232.3407738095239,1287.5816071428571
1279.1579563492064,1273.5890277777778,1269.1834722222222,1241.9385317460317,1222.1688492063493,1197.9369444444444
1263.9114880952382,1264.8539484126984,1253.5633531746032,1264.5461904761905,1208.2917857142857,1243.9482936507936
1311.4938095238094,1272.8675992063493,1261.7821428571428,1274.8375396825397,1263.841011904762,1269.3246031746032
1290.4644841269842,1279.7795436507936,1286.2259722222223,1257.0741071428572,1233.0469047619047,1247.9481944444444
1288.06251984127,1261.9742658730158,1268.5354365079365,1257.005615079365,1230.4345238095239,1250.915119047619
1309.0145436507937,1269.0061904761906,1257.8356746031745,1311.0611111111111,1215.1523412698414,1258.5598412698412
1290.9403373015873,1269.0272023809523,1248.5782142857142,1276.7159523809523,1298.5208730158731,1204.5557341269841
1276.8797222222222,1246.940257936508,1253.9362896825396,1271.2035714285714,1247.3562103174604,1258.7547817460318
1308.3407738095239,1259.4910912698413,1281.7611309523809,1250.612996031746,1269.0496626984127,1244.8140674603176
1284.3282936507937,1253.7796825396824,1274.9836706349206,1268.2816666666668,1275.5455952380953,1267.3656150793652
1291.1544047619047,1268.74876984127,1253.9245436507936,1265.6364682539684,1208.729265873016,1220.594246031746
1278.5617261904763,1284.898253968254,1273.105376984127,1284.3674801587301,1270.210992063492,1236.4464087301587
1294.3869444444445,1268.3956150793651,1286.0519246031747,1295.0319047619048,1278.8328571428572,1255.832996031746
1274.396488095238,1251.7734126984126,1249.3824206349207,1288.0500992063492,1273.7892261904763,1218.3704761904762
1270.123373015873,1284.7592857142856,1250.79123015873,1327.027123015873,1234.0045634920634,1248.7562896825398
1247.6158531746032,1237.5675,1263.841765873016,1257.132619047619,1226.1832936507938,1214.4975198412699
1257.3569444444445,1269.9646825396826,1252.758492063492,1249.3579365079365,1260.1344642857143,1216.1587896825397
1262.4378571428572,1262.7887301587302,1244.8465873015873,1254.7336904761905,1262.8461706349206,1259.9420634920634
1306.1582936507937,1281.670615079365,1268.4593650793652,1262.989503968254,1235.4075595238096,1218.881626984127
1280.4406944444445,1279.9460515873016,1248.0240674603174,1278.2913095238096,1255.7811309523809,1227.741011904762
1285.4792857142857,1238.4895436507936,1269.8589484126985,1259.6509325396826,1272.649623015873,1206.3900198412698
1306.4801388888889,1277.4858134920635,1264.4754563492063,1269.525376984127,1230.965376984127,1256.9983928571428
1255.7520238095237,1236.3769047619048,1236.7613492063492,1247.8086706349206,1243.522003968254,1241.1382738095238
