EA-fox.jpg,local_search-fox.jpg,gaussian-fox.jpg,EA-monalisa_sqr.jpg,local_search-monalisa_sqr.jpg,gaussian-monalisa_sqr.jpg,EA-old_man.jpeg,local_search-old_man.jpeg
206.20577889447236,178.7274539363484,217.9447068676717,128.088326873385,170.90168604651163,121.68470284237726,620.1102488888889,592.3749422222222
204.5050921273032,213.0275376884422,251.57572864321608,141.3872803617571,164.20510335917314,126.96664728682171,625.7991555555556,557.0035466666667
202.43202680067003,180.8424623115578,204.39492462311557,129.6350645994832,166.8768669250646,116.53704780361757,601.6034933333333,570.5601333333333
207.05098827470687,188.78117252931324,198.8661474036851,135.25330749354006,169.8875322997416,112.57571705426356,608.2018133333333,602.7074311111111
199.23537688442212,187.04192629815745,244.78058626465662,131.04355943152456,165.75960594315245,139.94646640826875,619.9887022222222,587.6206311111112
207.02418760469013,202.2994137353434,240.31566164154103,130.07308139534885,164.03032945736433,165.0247093023256,605.3587022222222,587.5125511111111
207.49716917922947,181.44,221.36649916247907,129.9022093023256,150.65016795865634,120.96228036175711,599.2735288888889,563.1057066666667
209.00092127303182,188.76108877721944,202.86460636515912,139.01257751937985,167.95052325581395,122.6006976744186,595.2606133333334,588.2254755555556
204.7177554438861,184.35986599664992,230.88922948073701,134.99303617571059,163.13317829457364,136.12441860465117,617.7540266666666,595.4133511111111
212.70705192629816,181.18390284757118,237.60269681742042,140.93375322997417,181.57855297157622,117.70514857881138,612.1373777777778,583.1279555555556
204.34499162479062,209.26477386934673,223.48978224455612,140.75034883720932,152.1391472868217,148.05246124031007,609.1867111111111,591.1248088888889
194.7450418760469,186.6592797319933,234.62594639865998,131.60954780361757,160.01928940568476,143.5784819121447,603.4723644444445,601.5338133333333
196.41753768844222,173.35395309882747,194.01966499162478,131.533830749354,164.54771317829457,120.14032299741602,619.0387911111111,580.26016
205.3671189279732,188.34591289782244,215.65668341708542,132.84963178294575,167.2136111111111,116.22918604651163,607.0347288888889,599.5173066666666
199.21259631490787,167.12254606365158,226.33,133.33217054263565,175.30089147286822,117.358165374677,599.1968533333334,563.2907288888889
201.11569514237857,167.3360636515913,218.44150753768844,131.86961886304908,179.22716408268735,125.28045865633075,596.4123644444444,583.9167911111111
209.99222780569514,177.8215242881072,208.01530988274706,129.428165374677,156.47040051679588,152.0982235142119,615.3960266666667,589.3142844444444
208.2508040201005,193.31609715242882,225.4,131.4775710594315,172.2621188630491,149.2223708010336,605.8950666666667,571.3748622222222
198.5743551088777,189.2554271356784,251.91569514237855,134.24144056847544,173.3158527131783,116.64370155038759,607.6636711111111,571.928
206.32128978224455,183.21922948073703,225.98611390284756,131.50768733850128,156.6312338501292,128.33935400516796,597.2827911111111,592.0345511111111
204.5469514237856,167.93644891122278,216.29085427135678,133.58934754521962,173.30010981912145,131.9908591731266,622.0457688888889,565.0941244444444
199.8933500837521,182.04641541038526,238.89410385259632,131.58353359173125,167.74254521963823,158.4677583979328,598.08272,587.7453333333333
205.01817420435512,184.39492462311557,223.22092127303182,132.2593927648579,170.99374031007753,150.27194444444444,614.1677066666666,577.9631822222223
213.04994974874373,198.55113902847572,264.64917922948075,131.16390180878554,172.48093669250645,135.5998449612403,593.9020711111111,587.9499822222223
200.6788944723618,181.22172529313232,240.58040201005025,131.23410206718347,148.04435400516795,112.82966408268734,595.6967822222222,578.7405955555555
210.57422110552764,186.54929648241205,211.20793969849245,133.08957364341086,163.1085400516796,124.2936111111111,611.3638933333333,570.2533688888889
200.9345728643216,192.92154103852596,220.03566164154103,135.32042635658914,165.79422480620156,132.27764857881138,604.9041866666666,576.8815288888889
216.15825795644892,185.2222948073702,247.2410552763819,135.91352713178296,169.48456718346253,141.394677002584,607.7598222222222,555.1271466666667
217.46358458961475,203.0169849246231,189.3914070351759,133.29309431524547,153.6176227390181,117.77443152454781,596.8963377777778,590.5424711111111
206.11489112227807,173.4218592964824,221.85561139028476,133.11135658914728,163.23944444444444,114.03299741602068,604.0265777777778,579.13816
