gen,nevals,avg,std,min,max
0,50,746.9166695407407,216.7534950891622,365.31153185185184,1252.6492622222222
1,50,586.8811263703705,88.13680867374987,365.31153185185184,736.7395555555555
2,50,503.6285681629629,79.22919743465296,293.0936562962963,591.7054392592593
3,50,456.4236074074074,57.731397766401486,293.0936562962963,536.8282088888889
4,50,421.889912325926,40.86606336905304,293.0936562962963,482.1892555555556
